Nome: JUTI
Codigo Estacao: A749
Latitude: -22.85722222
Longitude: -54.60555555
Altitude: 375.18
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;966,953898;26,49086;5,3;1,559409;
2020-02-29;null;null;968,509052;26,190805;5,1;1,495115;
2020-03-31;null;null;969,704435;26,406048;6,1;1,640188;
2020-04-30;null;null;972,305833;22,5825;6,9;1,395555;
2020-05-31;null;null;973,542742;19,196237;6,5;1,541801;
2020-06-30;null;null;972,415139;20,372222;7,6;2,038472;
2020-07-31;3;,8;973,074731;19,329839;6,5;1,882392;
2020-08-31;null;null;null;null;5,4;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

