Nome: AMAMBAI
Codigo Estacao: A750
Latitude: -23.0025
Longitude: -55.32944443
Altitude: 433.59
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;151,8;960,381855;25,205914;5,3;,977554;
2020-02-29;15;124,8;961,894971;25,091523;5,3;1,02069;
2020-03-31;7;71;963,126437;25,031048;6,9;1,344355;
2020-04-30;4;135,6;965,682083;20,953333;5,6;1,006111;
2020-05-31;9;130,8;966,787769;17,265054;5,6;1,017204;
2020-06-30;10;131,4;965,518333;18,648195;6,5;1,515833;
2020-07-31;6;17;966,254704;17,318011;5,5;1,089113;
2020-08-31;8;180,6;966,048522;18,583871;6,8;1,338441;
2020-09-30;3;7,2;963,477222;23,23375;5,8;1,331111;
2020-10-31;13;127;961,539247;24,61371;6,9;1,488844;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

