Nome: ITAQUIRAI
Codigo Estacao: A752
Latitude: -23.449501
Longitude: -54.181858
Altitude: 337.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;215,4;970,952823;26,123387;8,5;1,812634;
2020-02-29;11;132,6;972,546552;25,665517;11,5;1,854885;
2020-03-31;3;38,2;973,872049;25,758772;7,4;1,809718;
2020-04-30;2;106,4;976,401111;22,035;8,1;1,685417;
2020-05-31;6;118,2;977,62164;18,760618;5,7;1,740323;
2020-06-30;10;122,2;976,520556;19,855972;8,3;2,118611;
2020-07-31;8;19,4;977,238552;18,586226;6,9;2,022113;
2020-08-31;8;184,2;977,190836;20,109311;6,7;2,201051;
2020-09-30;2;4,2;974,106111;24,995694;7,4;1,936111;
2020-10-31;11;88,2;972,160618;26,07043;8,1;2,111021;
2020-11-30;9;75,8;972,710048;25,159257;11,9;2,07538;
2020-12-31;15;206,8;971,385215;25,218683;8,5;1,91922;

