Nome: ITUVERAVA
Codigo Estacao: A753
Latitude: -20.35972222
Longitude: -47.77527777
Altitude: 610.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;399;942,138844;24,369624;8,3;1,431452;
2020-02-29;24;284,6;943,770115;23,845833;4,8;1,380603;
2020-03-31;16;178,8;944,198253;23,398925;6,2;1,422312;
2020-04-30;6;24,2;945,888889;21,993472;7,2;1,30875;
2020-05-31;11;32;947,684946;18,227823;5,1;1,415591;
2020-06-30;null;null;948,245695;19,794028;7,8;1,579167;
2020-07-31;null;null;947,954301;19,821237;4,3;1,602419;
2020-08-31;1;4,8;947,823925;20,883737;8,1;1,992607;
2020-09-30;null;null;null;24,694444;6,4;null;
2020-10-31;11;76,2;942,802885;26,013822;8,3;1,961721;
2020-11-30;null;null;null;null;6,8;null;
2020-12-31;null;null;null;null;5,2;null;

