Nome: BARUERI
Codigo Estacao: A755
Latitude: -23.52388888
Longitude: -46.86944443
Altitude: 776.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;236,6;925,266263;22,472984;5,4;1,24543;
2020-02-29;24;530,6;926,993822;21,495402;4,7;,980603;
2020-03-31;13;90;928,313441;21,170565;5,1;1,520968;
2020-04-30;10;8,8;929,552639;19,299305;5;1,320833;
2020-05-31;15;13,2;930,240054;16,648925;4,6;1,482392;
2020-06-30;11;17,2;931,025972;18,214306;4,7;1,244444;
2020-07-31;null;null;930,983871;17,426344;5,7;1,10336;
2020-08-31;null;null;931,838038;16,817876;4,7;1,141935;
2020-09-30;null;null;929,648611;21,125694;null;null;
2020-10-31;null;null;927,07621;21,006452;null;null;
2020-11-30;null;null;927,215;20,188056;null;null;
2020-12-31;null;null;925,981317;22,195565;null;null;

