Nome: AGUA CLARA
Codigo Estacao: A756
Latitude: -20.44444444
Longitude: -52.87583332
Altitude: 323.63
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;161,4;972,540323;27,642473;5,6;null;
2020-02-29;19;330,6;974,009195;26,512787;5,1;null;
2020-03-31;4;89;974,907796;26,419355;5,2;null;
2020-04-30;6;106,2;977,24625;23,995833;5,6;null;
2020-05-31;10;37,2;979,141801;19,57836;7,7;null;
2020-06-30;8;53,2;978,408194;21,949167;6,4;null;
2020-07-31;0;0;978,596774;21,021774;5,1;null;
2020-08-31;2;5,2;978,336962;21,948387;5,2;null;
2020-09-30;2;10,2;975,184722;27,716806;6,7;null;
2020-10-31;9;103;973,040054;28,205107;6,1;null;
2020-11-30;7;77,8;973,856806;26,973333;7,4;null;
2020-12-31;13;177,8;973,043145;27,231452;7,7;null;

