Nome: JARDIM
Codigo Estacao: A758
Latitude: -21.4786111
Longitude: -56.13777777
Altitude: 252.47
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;278,4;980,164516;27,883602;5,3;1,495833;
2020-02-29;13;173,2;981,638937;27,646408;5,2;1,444397;
2020-03-31;5;46,4;982,406989;27,797177;4,9;1,205107;
2020-04-30;3;80,8;985,338472;24,073611;4,8;1,182917;
2020-05-31;8;134,2;986,9125;20,391398;6,5;1,258199;
2020-06-30;10;33,4;985,635278;21,269444;5,7;1,559722;
2020-07-31;null;null;null;null;5,3;null;
2020-08-31;null;null;null;null;5,2;null;
2020-09-30;null;null;null;null;5,3;null;
2020-10-31;null;null;null;null;5,3;null;
2020-11-30;null;null;null;null;5,2;null;
2020-12-31;null;null;null;null;6,6;null;

