Nome: SAO SEBASTIAO
Codigo Estacao: A767
Latitude: -23.81083333
Longitude: -45.4025
Altitude: 24
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;238,6;1010,476344;26,180914;8,3;3,16371;
2020-02-29;17;324,6;1012,588362;25,532759;7,6;2,718534;
2020-03-31;9;118,4;1014,633065;25,218145;7,4;null;
2020-04-30;7;22,2;1016,320556;23,500833;7,5;2,735833;
2020-05-31;5;80,4;1017,0485;21,891667;9,5;2,722347;
2020-06-30;null;null;null;null;6,8;null;
2020-07-31;null;null;null;null;7,9;null;
2020-08-31;null;null;null;null;10,2;null;
2020-09-30;null;null;null;null;9,8;null;
2020-10-31;null;null;null;null;6,7;null;
2020-11-30;null;null;null;null;8,2;null;
2020-12-31;null;null;null;null;7,4;null;

