Nome: TUPA
Codigo Estacao: A768
Latitude: -21.927251
Longitude: -50.490251
Altitude: 498
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;385;954,141409;25,557901;8,1;2,456364;
2020-02-29;17;297;955,672264;24,496764;9,1;null;
2020-03-31;4;118,4;956,794342;25,062018;6,2;2,855572;
2020-04-30;2;67,4;958,583472;23,155417;null;null;
2020-05-31;4;56,8;960,059076;20,31153;null;null;
2020-06-30;9;119,2;960,102917;21,235;7,5;2,486806;
2020-07-31;1;6,8;960,013844;21,331586;6,2;2,536021;
2020-08-31;6;69,8;960,315235;21,254903;7;null;
2020-09-30;3;8,6;957,435556;26,748194;null;null;
2020-10-31;11;62,4;955,02005;26,306767;null;null;
2020-11-30;5;60,8;955,548058;25,576036;null;null;
2020-12-31;15;107,2;954,709497;25,163401;null;null;

