Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;173,4;946,233602;23,88871;12,3;1,392339;
2020-02-29;22;330,6;948,080891;23,065805;6,4;1,337356;
2020-03-31;14;149,6;949,495126;22,207182;5,8;1,189171;
2020-04-30;5;44,6;950,844444;20,774444;6,9;1,1075;
2020-05-31;7;23,4;951,739651;17,960484;6,1;1,201613;
2020-06-30;7;37,8;952,692083;19,265139;6,9;1,330417;
2020-07-31;3;10;952,672581;18,648118;8,3;1,49207;
2020-08-31;7;42,6;953,542473;18,480242;7,7;1,474194;
2020-09-30;6;45;950,851051;23,294952;5,7;1,610417;
2020-10-31;null;null;948,164048;23,433179;10,1;2,129613;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

