Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;32,6;1011,397581;23,915726;7,5;3,411156;
2020-02-29;8;31,2;1013,645977;23,433764;8,7;3,579454;
2020-03-31;7;29,2;1015,240323;23,420296;7,9;3,15672;
2020-04-30;14;52;1016,394028;19,227222;11;3,572778;
2020-05-31;14;100,8;1015,620699;15,828898;9,2;2,90121;
2020-06-30;14;205,8;1015,694306;14,258333;9;2,92875;
2020-07-31;10;102,6;1017,085753;12,254301;12,9;3,00793;
2020-08-31;7;43,2;1018,684409;13,854167;8,1;2,910081;
2020-09-30;14;156,6;1017,325278;14,618195;8,3;3,011528;
2020-10-31;10;125,4;1015,183468;17,323118;8,3;3,5375;
2020-11-30;6;29,8;1015,660139;19,937917;7,5;3,20375;
2020-12-31;9;119;1012,184274;22,127016;10,5;3,660753;

