Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;261;998,936425;24,615322;7,5;2,041532;
2020-02-29;6;51,6;1001,27931;23,802586;5,5;1,923276;
2020-03-31;5;35,4;1002,223439;24,341023;5,6;1,910745;
2020-04-30;4;32,2;1005,146806;19,215;5,6;1,603333;
2020-05-31;15;205,8;1005,097446;15,56586;7,2;1,485417;
2020-06-30;14;154,6;1003,871389;15,851806;11,2;2,356944;
2020-07-31;20;125,6;1005,843952;13,017339;7,5;null;
2020-08-31;14;56,2;1006,306855;15,647446;null;null;
2020-09-30;16;null;1005,2;15,833494;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;4;null;null;null;null;null;

