Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;101;988,901882;23,312231;11;2,687769;
2020-02-29;4;38,6;991,118965;22,52342;10,7;2,486782;
2020-03-31;4;66;992,143952;23,118414;5,4;1,795565;
2020-04-30;2;4,2;994,946946;17,899101;10;2,280765;
2020-05-31;null;null;null;null;9,8;null;
2020-06-30;6;null;null;14,149432;13,7;null;
2020-07-31;7;38,4;995,093683;10,80793;10,7;2,330511;
2020-08-31;6;55,2;995,559409;14,191398;9,4;2,301478;
2020-09-30;9;100,8;993,962361;14,330694;8,3;2,657222;
2020-10-31;8;100,8;992,189919;17,534677;10,4;3,033468;
2020-11-30;null;null;null;null;9,3;null;
2020-12-31;null;null;null;null;7,5;null;

