Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.854345
Longitude: -53.791179
Altitude: 489.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;141,6;954,835887;24,102957;9,1;1,041398;
2020-02-29;7;72,6;956,987987;23,029135;6,3;1,568722;
2020-03-31;5;28,6;958,034056;24,361238;6,2;1,074376;
2020-04-30;6;80,4;960,451111;19,158889;11;,170417;
2020-05-31;12;256,6;960,537634;15,692742;6,5;,395161;
2020-06-30;14;213,4;959,162361;16,041667;7,5;,910556;
2020-07-31;12;356,4;960,321505;13,788844;6,6;,689516;
2020-08-31;5;162,2;960,78293;16,654973;6,4;,857796;
2020-09-30;10;85,4;958,364028;19,000556;7;1,046389;
2020-10-31;6;59,2;956,522043;21,873656;6,5;,305914;
2020-11-30;12;121;956,929813;22,219559;11,5;,217403;
2020-12-31;9;120,2;955,007124;23,832416;5,1;,034584;

