Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;94,6;1011,123521;24,050672;8,4;3,062903;
2020-02-29;10;null;1013,765834;23,71187;8,3;3,277819;
2020-03-31;1;null;1015,276777;null;9;3,134821;
2020-04-30;null;null;null;null;7,9;null;
2020-05-31;null;null;null;null;6,7;null;
2020-06-30;null;null;null;17,662711;9;null;
2020-07-31;6;null;null;15,263426;8,2;null;
2020-08-31;18;81,2;1018,984187;15,074574;10,5;2,701999;
2020-09-30;19;168,4;1017,143418;16,881951;10;2,807071;
2020-10-31;11;129,6;1014,768437;19,477764;9,2;3,52642;
2020-11-30;17;132,4;1014,852723;21,047458;9,3;2,973557;
2020-12-31;18;154,4;1012,025269;22,67836;9,4;3,124731;

