Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;187;979,073656;25,168011;8;1,953763;
2020-02-29;7;142,8;981,386494;23,812356;5,2;1,826043;
2020-03-31;4;42,2;982,346505;24,556586;5,5;1,561425;
2020-04-30;7;null;null;17,783958;6,1;null;
2020-05-31;7;null;null;null;5,4;null;
2020-06-30;17;171,8;983,907471;16,958764;6,2;2,02069;
2020-07-31;18;327,2;985,617473;13,799194;5,2;1,697446;
2020-08-31;8;159,4;985,736022;16,94543;5,9;1,948253;
2020-09-30;9;41,4;983,23125;19,116944;6,4;2,094445;
2020-10-31;6;27,2;981,125269;22,314919;null;null;
2020-11-30;3;null;null;23,648849;6,2;null;
2020-12-31;9;178,4;979,372312;24,870296;7,5;1,936425;

