Nome: CACAPAVA DO SUL
Codigo Estacao: A812
Latitude: -30.54527777
Longitude: -53.46694443
Altitude: 420.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;10;190,6;963,577957;22,577823;11,1;3,720027;
2020-02-29;5;31;965,745402;22,000287;8,6;3,70819;
2020-03-31;7;45,4;966,90641;22,69643;8,3;3,621226;
2020-04-30;7;32;968,655417;18,068056;10,5;4,043194;
2020-05-31;8;210,6;967,986828;15,008199;11,1;3,862903;
2020-06-30;15;163,8;967,023889;13,509722;10,3;4,249167;
2020-07-31;10;120,8;968,471774;11,326344;null;null;
2020-08-31;11;73,6;969,649462;14,208468;null;null;
2020-09-30;16;150,6;967,767917;14,309167;null;null;
2020-10-31;11;70,2;966,127016;16,963441;null;null;
2020-11-30;5;42;966,5825;19,350278;null;null;
2020-12-31;11;128,4;963,901344;21,235215;10,2;null;

