Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;123;998,771909;24,886156;7,1;2,734543;
2020-02-29;5;23,6;1001,050718;24,493247;7,3;2,576149;
2020-03-31;3;17,2;1002,2625;24,659005;7;2,632124;
2020-04-30;7;26,6;1004,646806;20,050417;9,3;2,765833;
2020-05-31;9;161,8;1004,525403;16,550672;10,2;2,437634;
2020-06-30;13;76,8;1003,818472;15,950139;10;2,569444;
2020-07-31;24;147,8;1005,476747;13,008199;11;2,529435;
2020-08-31;null;null;1006,275134;15,693952;6,5;2,385349;
2020-09-30;17;129,6;1004,271389;16,4675;9,3;2,817083;
2020-10-31;9;73,4;1002,108333;19,249194;7,6;3,093952;
2020-11-30;5;37,8;1002,314722;21,545417;7;2,921111;
2020-12-31;11;49,6;999,271371;23,568817;11,8;2,902151;

