Nome: INDAIAL
Codigo Estacao: A817
Latitude: -26.91361111
Longitude: -49.26805554
Altitude: 72.24
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;106,2;1003,046001;25,365767;7;,909039;
2020-02-29;13;173,6;1005,671093;24,086883;9,8;,809887;
2020-03-31;13;26,2;1007,379167;24,131317;3,9;,712769;
2020-04-30;9;86;1008,81875;21,060833;7,8;,914861;
2020-05-31;8;10,2;1009,014919;18,359946;6,2;1,088172;
2020-06-30;21;179,2;1009,506389;17,955417;10,6;,805;
2020-07-31;20;114;1010,545968;15,743952;8,5;1,077285;
2020-08-31;14;109,4;1011,873253;17,018414;5,6;,94664;
2020-09-30;15;50,8;1009,2425;19,812083;5,2;,997083;
2020-10-31;17;54,8;1006,621505;21,576075;5,9;,965188;
2020-11-30;18;195,6;1006,68;22,05625;4,2;1,156944;
2020-12-31;24;252,2;1003,969086;23,791935;5,3;1,216532;

