Nome: IVAI
Codigo Estacao: A818
Latitude: -25.01083333
Longitude: -50.85388888
Altitude: 803.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;119,8;922,013186;22,157361;5,2;1,654789;
2020-02-29;11;124,2;923,648495;22,1798;4,5;1,654589;
2020-03-31;7;22,4;925,140718;21,386835;6,5;1,613085;
2020-04-30;11;null;926,315404;19,109116;5,1;1,541245;
2020-05-31;8;null;926,841945;15,507842;5,5;1,625299;
2020-06-30;12;150,2;926,854714;16,628087;8,2;1,722033;
2020-07-31;13;null;927,159868;15,76683;5,4;1,655609;
2020-08-31;14;195,4;927,792314;15,777516;5,2;1,75004;
2020-09-30;5;31,8;925,596944;20,525417;6;1,834861;
2020-10-31;10;80,8;923,589247;20,756989;8,7;1,915995;
2020-11-30;12;58,2;923,734541;20,704511;5,6;1,735163;
2020-12-31;18;150,6;922,422581;21,780108;8,2;1,548925;

