Nome: CASTRO
Codigo Estacao: A819
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 993.6
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;102,2;902,641483;20,944966;6;1,759274;
2020-02-29;17;109,8;904,31681;20,428448;5,1;1,668966;
2020-03-31;6;21,8;905,746102;19,999597;6,2;1,584677;
2020-04-30;3;30,4;906,676806;17,296806;5,7;1,387222;
2020-05-31;6;67,6;906,992742;13,718817;7,4;1,449462;
2020-06-30;15;173,8;907,3075;15,033194;7,6;1,726111;
2020-07-31;6;32;907,417876;13,543683;6,9;1,542339;
2020-08-31;14;197,8;908,341532;14,092607;4,5;1,372849;
2020-09-30;3;6,8;906,437385;18,590948;6,8;1,821582;
2020-10-31;8;110,2;904,26828;18,998656;6,3;1,934678;
2020-11-30;10;125,6;904,314444;19,128333;7,1;1,689444;
2020-12-31;21;151;903,082585;20,212506;7,6;1,756586;

