Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;null;965,113782;25,355805;7,7;2,359646;
2020-02-29;7;null;966,569963;25,84343;9,4;3,346703;
2020-03-31;7;19,2;968,001402;25,706806;8,2;3,44038;
2020-04-30;3;34,6;970,437083;21,221667;9,2;3,295;
2020-05-31;11;171;971,466801;17,717339;8;3,331183;
2020-06-30;14;59,4;970,339583;18,849583;9;3,458611;
2020-07-31;10;36,8;971,100941;17,458065;9,1;3,422043;
2020-08-31;7;127,2;970,602203;19,968899;9,9;3,74205;
2020-09-30;1;null;null;23,876515;10,1;null;
2020-10-31;4;null;null;null;9,6;null;
2020-11-30;10;68,2;966,767222;24,894306;11,4;3,516945;
2020-12-31;14;242;965,518544;24,392748;7,9;2,497745;

