Nome: JOAQUIM TAVORA
Codigo Estacao: A821
Latitude: -23.505266
Longitude: -49.946387
Altitude: 512.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;135,6;952,728629;24,076613;9,7;2,368145;
2020-02-29;12;176,4;954,424425;23,549569;10,5;2,851006;
2020-03-31;2;null;955,672572;23,560485;9,9;3,313814;
2020-04-30;null;null;null;null;8,9;null;
2020-05-31;null;null;null;null;9,4;null;
2020-06-30;4;null;null;19,367659;10,3;null;
2020-07-31;10;27,4;958,798896;17,330139;9,2;1,956381;
2020-08-31;4;null;959,701978;18,785022;11,4;2,522826;
2020-09-30;2;18,6;956,58625;22,845833;13,3;2,65625;
2020-10-31;4;null;953,995432;23,18001;12,2;3,357737;
2020-11-30;null;null;null;null;11;null;
2020-12-31;null;null;null;null;11,6;null;

