Nome: INACIO MARTINS
Codigo Estacao: A823
Latitude: -25.567879
Longitude: -51.077946
Altitude: 1208.85
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;132,6;879,549059;19,320161;6,3;2,410887;
2020-02-29;8;84,4;881,163793;18,971121;5,8;2,615374;
2020-03-31;11;75,8;882,587769;18,397849;5,4;2,375806;
2020-04-30;8;48,8;883,255694;15,628333;6,9;2,319861;
2020-05-31;10;123;883,215188;13,258871;7,1;2,472446;
2020-06-30;16;162;883,264167;14,236528;7,8;2,671528;
2020-07-31;8;31,6;883,323925;12,881989;8,4;2,679839;
2020-08-31;12;224,2;884,309543;13,518414;8,3;2,612769;
2020-09-30;6;45,4;882,777639;17,823889;7,4;2,671389;
2020-10-31;9;79,8;880,962097;17,900269;7,7;2,768817;
2020-11-30;16;202;881,018472;17,229444;7,3;2,606528;
2020-12-31;21;259;879,790457;18,685753;7,2;2,499866;

