Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;109,4;985,421909;23,38293;9,6;3,591129;
2020-02-29;4;40,2;987,616954;22,815517;9,8;3,42069;
2020-03-31;6;21,4;988,731183;23,639516;9,3;3,489113;
2020-04-30;10;83;990,988611;18,195278;9,2;3,340695;
2020-05-31;14;162,6;990,353763;14,733602;11,4;3,300269;
2020-06-30;17;182,6;988,839437;14,180441;13,4;3,772664;
2020-07-31;12;null;989,796853;12,94616;10,8;3,868484;
2020-08-31;8;77,6;991,294862;15,599625;10,8;3,575188;
2020-09-30;13;97;990,394639;14,480139;10,8;3,764448;
2020-10-31;11;85,6;988,729973;17,230511;11,7;4,10793;
2020-11-30;6;27;988,992639;19,765278;10,2;3,972639;
2020-12-31;12;90,6;985,892631;21,9589;12,2;3,814458;

