Nome: SAO JOSE DOS AUSENTES
Codigo Estacao: A829
Latitude: -28.7486111
Longitude: -50.05777777
Altitude: 1228.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;166,6;876,947043;17,299194;13,2;5,800403;
2020-02-29;20;77,4;878,853592;16,487931;12;5,709052;
2020-03-31;18;29,6;880,135081;16,738172;10,9;5,333064;
2020-04-30;22;49,4;880,194028;13,100833;14,9;5,507222;
2020-05-31;10;67;879,403226;11,802957;15,1;5,911979;
2020-06-30;21;120;879,233055;11,713611;null;null;
2020-07-31;17;366,2;879,284543;9,589113;null;null;
2020-08-31;7;72,4;881,164382;12,028226;null;null;
2020-09-30;16;103;879,597778;13,183333;null;null;
2020-10-31;14;46,4;878,012366;14,203763;null;null;
2020-11-30;23;132;878,544583;14,035278;null;null;
2020-12-31;23;141,8;877,04207;16,310349;null;null;

