Nome: MARINGA
Codigo Estacao: A835
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 548.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;154;949,166801;25,050538;7,7;1,862231;
2020-02-29;10;144,2;950,612787;25,08204;4,6;2,102299;
2020-03-31;null;null;951,999866;25,363306;5,7;2,115995;
2020-04-30;null;null;953,795139;22,680556;9,1;2,0375;
2020-05-31;5;54,8;954,956101;19,48864;5;1,944261;
2020-06-30;10;143,8;954,638194;20,481389;6;2,104305;
2020-07-31;4;23,2;954,834543;19,932393;5;2,027285;
2020-08-31;9;163,8;955,225269;20,568145;8,5;2,265591;
2020-09-30;2;9,2;952,294167;26,321111;6,1;2,175417;
2020-10-31;12;142,4;950,218817;25,709274;8,7;2,179436;
2020-11-30;6;54,8;950,589583;25,449167;6,8;2,302083;
2020-12-31;18;181,6;949,635349;24,711156;5,8;2,006989;

