Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.807953
Longitude: -51.83424
Altitude: 92.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;163;1001,157124;23,416263;5;1,276882;
2020-02-29;13;44;1003,512213;23,048563;4,9;1,350431;
2020-03-31;15;44,8;1004,890106;23,03286;5,9;1,061676;
2020-04-30;12;48,2;1006,506866;18,860652;5,2;1,178128;
2020-05-31;11;117,6;1005,926508;15,625953;4,5;,858363;
2020-06-30;17;null;1005,341176;15,368623;4,5;,840545;
2020-07-31;16;null;1005,917086;14,008416;5,4;,94493;
2020-08-31;19;80,4;1008,123847;14,85055;4,7;,89339;
2020-09-30;23;246,8;1006,816153;15,187388;7,7;1,369201;
2020-10-31;22;131,2;1004,672119;17,531954;6,2;1,597832;
2020-11-30;16;31,4;1004,998055;20,078611;6,3;1,428611;
2020-12-31;15;94;1001,805645;22,254167;5,4;1,401882;

