Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;148,8;941,186559;22,137769;6,4;2,746237;
2020-02-29;8;68,4;943,30158;21,530316;6,9;2,914368;
2020-03-31;6;33;944,493981;22,124495;6,5;2,881501;
2020-04-30;2;null;946,382784;18,504186;6,5;2,851078;
2020-05-31;11;134,6;945,615323;14,771371;8,1;2,793952;
2020-06-30;13;198,2;944,987222;14,768611;8;3,383194;
2020-07-31;18;360,6;945,789656;11,337695;8,2;3,020204;
2020-08-31;7;111,8;947,017204;14,749597;8,1;2,819086;
2020-09-30;17;134,4;944,909861;16,161806;8;2,79125;
2020-10-31;7;50;943,151479;18,105511;7,5;2,930779;
2020-11-30;3;null;null;18,688056;8,3;null;
2020-12-31;null;null;null;null;7,5;null;

