Nome: DOIS VIZINHOS
Codigo Estacao: A843
Latitude: -25.69916666
Longitude: -53.09527777
Altitude: 545.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;133,8;948,441263;24,086828;11;,863172;
2020-02-29;9;116,4;950,155603;24,298132;8;1,412213;
2020-03-31;6;22,4;951,627957;23,794086;6,2;,909946;
2020-04-30;5;57,4;953,608889;19,684167;7;1,037361;
2020-05-31;11;250;954,328091;16,071505;7,6;,526479;
2020-06-30;16;162,6;953,353333;17,527917;12,6;1,027083;
2020-07-31;11;62,6;954,047446;15,999059;6,9;,939651;
2020-08-31;10;176;954,383871;17,756989;9;1,035618;
2020-09-30;2;null;null;22,386667;8,2;null;
2020-10-31;null;null;null;null;6,5;null;
2020-11-30;null;null;null;null;8,4;null;
2020-12-31;null;null;null;null;5,3;null;

