Nome: DIAMANTE DO NORTE
Codigo Estacao: A849
Latitude: -22.63944444
Longitude: -52.89027777
Altitude: 368.22
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;164,2;967,968548;25,920027;6,7;2,212903;
2020-02-29;11;242,4;969,509914;25,50704;7;2,219253;
2020-03-31;7;11,2;970,816264;25,687769;7,3;2,649194;
2020-04-30;6;64,8;972,996111;22,695417;8,3;1,705556;
2020-05-31;7;59,4;974,415323;19,474059;6,9;1,625;
2020-06-30;11;null;973,798205;21,190059;9,4;2,669954;
2020-07-31;3;null;null;19,900385;7,5;null;
2020-08-31;3;null;null;22,539167;7,6;null;
2020-09-30;3;14,6;971,051105;26,009903;10,2;1,048611;
2020-10-31;14;91,4;968,805121;26,403239;7,9;,524237;
2020-11-30;5;8;969,541558;25,982832;8,8;,599058;
2020-12-31;2;null;null;null;10,4;null;

