Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;157,2;961,997984;23,383064;10,4;3,272312;
2020-02-29;9;34;964,213793;22,220115;7,8;3,082328;
2020-03-31;3;19,6;965,122174;23,825206;8,1;2,980327;
2020-04-30;6;38,2;967,628804;18,437965;10,1;3,025924;
2020-05-31;11;200,6;967,621909;14,965726;11;2,613038;
2020-06-30;14;256,4;966,29875;14,971945;11,1;3,398056;
2020-07-31;16;299,8;967,618011;12,369086;12,1;3,141263;
2020-08-31;8;107,6;968,203763;15,130511;10,4;3,444624;
2020-09-30;15;83,6;965,910833;16,815694;10;3,788472;
2020-10-31;8;37,8;963,954301;19,963844;11,6;3,988844;
2020-11-30;7;52;964,354088;21,367476;14,9;4,186341;
2020-12-31;12;121,6;962,185513;22,870722;10,9;3,446488;

