Nome: FREDERICO WESTPHALEN
Codigo Estacao: A854
Latitude: -27.39555555
Longitude: -53.42944443
Altitude: 489.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;172,4;954,84664;24,085349;6,7;1,757527;
2020-02-29;9;85;956,990661;22,99023;5,6;1,710345;
2020-03-31;5;32,4;958,153495;23,528898;4,7;1,326479;
2020-04-30;8;100,8;960,529444;18,694722;6,7;1,377222;
2020-05-31;10;131,4;960,795161;15,284543;6,9;1,11922;
2020-06-30;17;170,6;959,509722;16,194444;6;1,727361;
2020-07-31;12;183,2;960,529973;14,373925;5,9;1,271237;
2020-08-31;5;75,6;960,946774;17,089458;6,1;1,727787;
2020-09-30;8;43,4;958,392234;19,466558;6,7;1,998128;
2020-10-31;6;26;956,570584;21,88933;7;2,032767;
2020-11-30;10;133,6;956,971335;22,134149;7,5;2,175429;
2020-12-31;10;135,2;955,059855;23,81441;7;1,832717;

