Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;184;964,511559;25,063172;9,7;1,235081;
2020-02-29;7;102;966,294828;25,397557;8,2;1,99181;
2020-03-31;4;60,6;967,708602;25,265726;7,2;1,86129;
2020-04-30;2;47,4;970,109861;20,908472;6,7;1,757083;
2020-05-31;12;278;970,970296;17,109946;7,3;1,662903;
2020-06-30;13;139,8;969,696806;18,53375;9,4;1,874722;
2020-07-31;10;65;970,593952;16,9625;7,4;1,848656;
2020-08-31;7;121,6;970,702016;19,058333;8,1;2,15672;
2020-09-30;3;25,6;967,681407;23,622651;8,6;2,187422;
2020-10-31;6;72;965,970065;24,811715;9,3;2,323248;
2020-11-30;9;41,2;966,361928;24,576965;12;2,377159;
2020-12-31;2;null;null;null;11;null;

