Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;186,2;941,381872;22,911325;7,6;2,262272;
2020-02-29;9;67,8;943,47342;21,847701;8,2;2,301724;
2020-03-31;6;54;944,561425;23,259677;7,8;2,096371;
2020-04-30;6;54;946,615833;18,342083;9,2;1,198611;
2020-05-31;13;79,6;946,59207;15,262903;9,4;1,975538;
2020-06-30;14;106;945,385235;15,018738;9,4;2,681932;
2020-07-31;null;null;946,32836;13,268952;7,5;1,876075;
2020-08-31;7;80,8;947,013879;16,215264;8,8;1,670237;
2020-09-30;8;86;944,705139;18,070417;8,6;,960972;
2020-10-31;5;19,6;942,946774;20,714516;8,7;,784946;
2020-11-30;null;null;943,354444;20,97125;8,8;,771528;
2020-12-31;6;31,6;941,507393;22,681048;7,4;,618548;

