Nome: CACADOR
Codigo Estacao: A859
Latitude: -26.819156
Longitude: -50.98552
Altitude: 944.26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;154,6;907,013844;20,537231;5,6;1,560081;
2020-02-29;13;104,2;908,937787;19,620115;5,7;1,689368;
2020-03-31;6;54;910,312903;19,222984;5,8;1,528226;
2020-04-30;6;61,6;911,376053;15,19983;5,9;1,548083;
2020-05-31;12;88;911,243732;12,782876;6,4;1,572891;
2020-06-30;16;169,8;911,035972;13,860278;6,2;1,432083;
2020-07-31;14;132,4;911,231435;12,937191;7,5;1,585714;
2020-08-31;8;88,4;912,187081;14,080917;6;1,424697;
2020-09-30;8;63,2;910,43;17,594028;6,3;1,359861;
2020-10-31;8;28,4;908,587769;18,56371;6,2;,572984;
2020-11-30;13;134,2;908,824445;18,193889;6;,063333;
2020-12-31;15;199,2;907,252419;20,05914;6,9;,163979;

