Nome: CURITIBANOS
Codigo Estacao: A860
Latitude: -27.2886111
Longitude: -50.60416666
Altitude: 978.1
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;105,2;903,494624;20,570968;7,1;1,801613;
2020-02-29;13;127,2;905,461638;19,685776;6;1,953736;
2020-03-31;8;49,8;906,798925;19,808199;4,7;1,764651;
2020-04-30;12;76,8;907,685694;15,671944;7,1;1,713194;
2020-05-31;15;70,2;907,447849;13,277957;7,1;1,645699;
2020-06-30;16;180,6;907,337639;13,893472;9,6;1,899861;
2020-07-31;21;138,2;907,583333;12,157796;8,9;1,735349;
2020-08-31;12;134,2;908,714785;13,918952;5,9;1,609409;
2020-09-30;10;81;906,89375;16,676945;7,3;1,846667;
2020-10-31;8;58,6;905,08414;18,217742;7,4;1,752688;
2020-11-30;16;165,4;905,323195;17,804305;5,4;1,299861;
2020-12-31;16;155,4;903,738844;19,84422;6,4;1,142876;

