Nome: RIO DO CAMPO
Codigo Estacao: A861
Latitude: -26.93749999
Longitude: -50.14555555
Altitude: 591.67
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;null;null;3,9;null;
2020-02-29;1;null;null;null;5;null;
2020-03-31;null;null;null;null;3,9;null;
2020-04-30;1;null;null;null;5,1;null;
2020-05-31;1;null;null;null;4,7;null;
2020-06-30;1;null;null;null;5,7;null;
2020-07-31;null;null;null;null;7;null;
2020-08-31;1;null;null;null;6,2;null;
2020-09-30;null;null;null;null;4,6;null;
2020-10-31;null;null;null;null;4,2;null;
2020-11-30;null;null;null;null;4;null;
2020-12-31;16;200,2;945,043452;21,516667;5,9;1,252679;

