Nome: RIO NEGRINHO
Codigo Estacao: A862
Latitude: -26.2486111
Longitude: -49.57416666
Altitude: 800
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;106;916,63293;20,584543;1,8;,11586;
2020-02-29;18;157,8;918,611638;19,919971;1,1;,012644;
2020-03-31;14;20,2;920,116667;19,330914;2,4;,26586;
2020-04-30;13;43,4;920,890694;16,468056;3,5;,679722;
2020-05-31;16;39,6;920,813978;13,546909;5,2;,833602;
2020-06-30;20;100,6;921,170833;14,362639;6,6;,800278;
2020-07-31;16;97,6;921,318145;12,890457;4,5;,755914;
2020-08-31;20;126,4;922,595564;13,345968;5,2;,616398;
2020-09-30;8;37;920,666806;16,782361;5,8;,712917;
2020-10-31;10;94,2;918,613978;18,082527;3,9;,750538;
2020-11-30;22;50,4;918,787083;17,980556;3,4;,664861;
2020-12-31;22;169,6;917,091398;19,895161;3,4;,597849;

