Nome: MAJOR VIEIRA
Codigo Estacao: A864
Latitude: -26.3936111
Longitude: -50.36333333
Altitude: 799.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;76,8;922,259274;21,265457;6,8;2,169893;
2020-02-29;6;20;924,240373;20,425144;8,7;2,113793;
2020-03-31;null;null;925,797446;19,972984;6,6;1,907124;
2020-04-30;null;null;926,735;16,357083;9;2,032083;
2020-05-31;null;null;926,725134;13,205108;10,7;2,186022;
2020-06-30;null;null;926,884445;14,261806;16,3;2,234444;
2020-07-31;null;null;927,150134;12,361156;10,1;2,164516;
2020-08-31;null;null;928,359409;12,784543;10,4;2,028763;
2020-09-30;null;null;926,263611;17,003611;11,9;2,405972;
2020-10-31;null;null;924,18172;18,889651;7,4;2,701613;
2020-11-30;null;null;924,409722;18,912361;11;2,663611;
2020-12-31;null;null;922,663307;20,672581;9,9;2,645565;

