Nome: Laguna - Farol de Santa Marta
Codigo Estacao: A866
Latitude: -28.60444444
Longitude: -48.81333333
Altitude: 34.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;186,4;1006,259946;23,745968;0;0;
2020-02-29;null;29,2;1008,875;23,173132;4,1;,017529;
2020-03-31;null;25,2;1010,284005;23,413575;29,1;10,126677;
2020-04-30;null;27,6;1011,408333;21,169861;null;null;
2020-05-31;null;14,2;1011,130401;19,182063;null;null;
2020-06-30;null;108,8;1011,663056;18,231389;0;0;
2020-07-31;null;153;1012,845238;15,260714;0;0;
2020-08-31;null;77,2;1014,31625;16,544444;0;0;
2020-09-30;null;145,8;1012,123889;17,855278;0;0;
2020-10-31;null;51,2;1009,793952;19,84879;0;0;
2020-11-30;null;121,8;1009,797361;21,148611;19,9;1,396389;
2020-12-31;null;127,2;1007,191667;22,747312;18,6;6,187634;

