Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;130,2;1010,483065;24,29328;5,9;1,815591;
2020-02-29;15;239,6;1013,098994;23,602012;7,6;1,767385;
2020-03-31;17;59;1014,866532;23,095027;5,8;1,608871;
2020-04-30;18;81,4;1016,219167;20,176667;8;1,623889;
2020-05-31;21;28;1016,338038;17,744758;8;1,635349;
2020-06-30;22;168;1016,894028;18,05375;10,1;1,282361;
2020-07-31;16;83,8;1018,027151;15,646102;11;1,501882;
2020-08-31;14;107,6;1019,520833;16,497177;11,4;1,383064;
2020-09-30;14;46,8;1016,893611;19,098889;5,9;1,480139;
2020-10-31;14;41,2;1013,913793;20,901149;6,8;2,002299;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

