Nome: CIDADE GAUCHA
Codigo Estacao: A869
Latitude: -23.35916666
Longitude: -52.93194443
Altitude: 365.79
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;255,8;968,295833;25,843817;5,9;1,643414;
2020-02-29;12;106,8;969,823132;25,733477;5,1;1,701006;
2020-03-31;7;62,6;971,236962;25,772446;6,3;1,643145;
2020-04-30;3;45,2;973,404861;22,385694;8,5;1,526667;
2020-05-31;5;93,2;974,717876;19,180914;5,4;1,459274;
2020-06-30;10;139,2;974,035556;20,471528;8,6;1,787083;
2020-07-31;5;16,8;974,477688;19,525806;5,7;1,692473;
2020-08-31;7;121,2;974,429911;21,2875;7,3;2,134673;
2020-09-30;3;7,8;971,397083;26,092361;7,6;1,950972;
2020-10-31;11;87,2;969,410349;26,152016;12,2;2,046909;
2020-11-30;5;16,4;969,909861;25,825556;6,5;1,979861;
2020-12-31;14;147,2;968,765323;25,566667;7;1,869892;

