Nome: JAPIRA
Codigo Estacao: A871
Latitude: -23.77333332
Longitude: -50.18055554
Altitude: 692.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;174,2;933,406048;23,165726;6,9;2,354167;
2020-02-29;13;134,8;935,05546;22,351006;6,9;2,866523;
2020-03-31;5;26,6;936,439297;22,385972;6,9;2,821364;
2020-04-30;3;33,6;937,76125;20,464028;11,2;2,654305;
2020-05-31;4;80,4;938,627688;17,859677;6;2,249866;
2020-06-30;10;153;938,914306;18,537778;7,5;2,300833;
2020-07-31;4;38,6;938,945968;17,725941;7,3;2,472715;
2020-08-31;10;147,2;939,724866;17,51129;7,6;2,703898;
2020-09-30;3;11,6;937,147083;22,577083;11,7;3,026667;
2020-10-31;10;80,4;934,886962;22,610887;9;3,136828;
2020-11-30;11;11;935,116667;22,057222;8,3;3,044722;
2020-12-31;19;137,2;934,010753;22,461962;10,6;2,620027;

