Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;83,8;900,702285;20,544489;4,7;1,007527;
2020-02-29;13;87,4;902,517672;19,843247;4,8;1,055172;
2020-03-31;14;84,4;904,020296;18,435215;4,2;,831317;
2020-04-30;17;55,6;904,963472;14,087778;5,2;,78125;
2020-05-31;21;121,4;904,923656;11,020833;6,5;,80578;
2020-06-30;26;150,4;904,717778;13,087639;5,2;,6725;
2020-07-31;25;98,6;904,974059;11,221102;5,9;,745968;
2020-08-31;22;109,6;906,017204;12,060484;5,8;,675403;
2020-09-30;16;46,4;904,134583;16,702639;5,9;,997083;
2020-10-31;null;null;902,304301;17,764382;5,4;1,072984;
2020-11-30;null;null;902,455;17,561111;4,6;,810139;
2020-12-31;null;null;900,961425;19,807796;5,3;,856586;

