Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;233;918,814382;19,987097;7,1;2,548346;
2020-02-29;15;153,8;920,834483;19,247845;8,3;2,889776;
2020-03-31;7;35,4;922,11229;19,731235;6;2,580394;
2020-04-30;13;42,6;922,943611;15,606528;8;2,83105;
2020-05-31;10;171,6;922,299597;13,316129;8,9;3,167897;
2020-06-30;15;245,2;921,879444;13,358333;10,8;null;
2020-07-31;18;412,4;922,422565;11,071629;10,4;3,179082;
2020-08-31;12;136,4;923,998583;13,359751;8,5;2,729674;
2020-09-30;19;181;922,129444;14,339306;9,6;null;
2020-10-31;12;135,6;920,460349;15,791263;8;null;
2020-11-30;8;121,2;920,99375;16,905972;8,2;null;
2020-12-31;18;57;918,959946;18,985349;7,8;null;

