Nome: VACARIA
Codigo Estacao: A880
Latitude: -28.513602
Longitude: -50.882738
Altitude: 969.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;null;904,240183;20,433725;7,7;2,588449;
2020-02-29;null;null;null;null;7,5;null;
2020-03-31;null;null;null;null;8,8;null;
2020-04-30;null;null;null;null;9,9;null;
2020-05-31;10;null;907,826763;12,255449;9,4;3,189744;
2020-06-30;17;184,8;907,430972;12,523195;11,1;3,794583;
2020-07-31;19;422;907,773387;10,435484;11,4;3,397312;
2020-08-31;5;74;909,128898;12,865995;8,9;3,171505;
2020-09-30;12;123;907,245139;15,203333;9,5;3,28625;
2020-10-31;4;39,4;905,542876;16,906317;8,6;3,177285;
2020-11-30;12;94,4;905,97375;16,972361;9,8;2,739444;
2020-12-31;19;175,2;904,25672;19,054032;11,1;2,95672;

