Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;164,2;1002,184409;24,86707;7,6;1,957393;
2020-02-29;8;92,8;1004,534052;24,507184;7,7;1,866092;
2020-03-31;5;25,4;1005,734812;24,533468;6,5;1,849193;
2020-04-30;9;24,4;1008,355833;19,971111;7,6;2,003611;
2020-05-31;13;203,4;1008,416129;16,632796;9,7;1,975806;
2020-06-30;16;146,8;1007,744722;16,755556;10,9;2,537222;
2020-07-31;16;null;1009,379523;13,355885;10,6;1,881452;
2020-08-31;null;null;1010,119326;16,151215;7,9;1,742058;
2020-09-30;2;null;1007,919445;17,105;9,6;1,791806;
2020-10-31;null;null;1005,639113;20,039516;10,6;2,124597;
2020-11-30;null;null;1005,837778;21,706667;9,5;2,129861;
2020-12-31;null;null;1002,768683;23,905645;10,2;2,161156;

