Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;137,8;959,382258;23,632124;6,3;2,484829;
2020-02-29;10;32,6;961,574569;22,828448;6;2,362198;
2020-03-31;5;25,2;962,546371;24,006048;6,5;2,411962;
2020-04-30;6;61,4;964,8975;18,536944;6,1;2,304167;
2020-05-31;11;184,6;964,869893;15,214516;7,7;2,205879;
2020-06-30;15;229,6;963,736111;15,09875;7,6;2,789028;
2020-07-31;19;349;964,90121;12,572849;8,3;2,302151;
2020-08-31;11;179;965,619355;15,317607;6,5;2,428273;
2020-09-30;15;87,4;963,279722;17,248194;7;2,494897;
2020-10-31;7;52,6;961,344086;20,306183;7,9;2,754371;
2020-11-30;8;94,8;961,762639;21,118333;7,3;2,642295;
2020-12-31;9;115,2;959,552957;23,050538;6,4;2,450045;

