Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;84,4;1008,624866;25,693414;5,9;1,362769;
2020-02-29;8;88,2;1011,00431;24,932759;4,8;1,259339;
2020-03-31;7;10,6;1012,332661;24,757258;3,5;1,144355;
2020-04-30;16;23,2;1014,566081;20,387373;6,2;1,245918;
2020-05-31;17;171,2;1014,59422;16,543683;5,6;1,156078;
2020-06-30;17;189,2;1014,197361;16,715;5;1,132639;
2020-07-31;20;277;1015,729167;13,3875;5,3;1,105645;
2020-08-31;20;130,6;1016,701479;15,84207;4,7;,97164;
2020-09-30;18;210;1014,473611;17,554028;4,1;1,240417;
2020-10-31;12;91,8;1012,179032;20,268145;4,9;1,388844;
2020-11-30;8;70,6;1012,377083;21,911945;4,6;1,268333;
2020-12-31;13;104,6;1009,189382;24,295565;7,9;1,30578;

