Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.0893814
Longitude: -53.82665025
Altitude: 462
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;8;143,8;958,988575;23,628898;6;2,217245;
2020-02-29;6;84;961,191379;22,643104;4,7;2,076006;
2020-03-31;4;37,2;962,129435;24,194624;4,6;2,079301;
2020-04-30;7;35,6;964,471389;18,368194;6;2,026806;
2020-05-31;11;198,8;964,268952;14,492608;6,2;1,838575;
2020-06-30;12;117,8;962,950278;14,612083;5,8;2,361806;
2020-07-31;18;226;964,329032;11,811156;6,4;2,154301;
2020-08-31;9;74,8;965,083333;14,986828;5,2;2,098253;
2020-09-30;14;188,4;962,899167;16,345417;6,1;2,359167;
2020-10-31;4;48,2;961,04543;19,644892;6,8;2,525672;
2020-11-30;9;165,4;961,452361;20,958611;7,2;2,397639;
2020-12-31;9;121,8;959,214113;22,773253;7,1;2,126075;

