Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 545
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;153;955,370027;22,800134;4,3;1,294892;
2020-02-29;10;89;957,533477;22,171839;7;1,300431;
2020-03-31;5;10,4;958,67836;22,181989;4,7;1,126613;
2020-04-30;11;43,8;960,6675;16,889722;5,8;1,188333;
2020-05-31;19;131,4;960,568011;14,033602;6,2;1,303898;
2020-06-30;18;184,2;959,828611;14,681806;6,6;1,382778;
2020-07-31;24;500,2;960,766263;11,918952;7,5;1,24879;
2020-08-31;14;115,6;961,766129;13,953226;5;1,118817;
2020-09-30;17;102,4;959,416111;16,703611;6;1,262355;
2020-10-31;10;30,2;957,485484;19,157796;5,4;1,50121;
2020-11-30;8;86;957,87125;20,113333;4,6;1,362639;
2020-12-31;16;118,8;955,560215;22,071505;5,3;1,36056;

