Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;332,4;899,897043;18,85;6,6;2,87043;
2020-02-29;16;72,6;901,934976;18,097914;8,3;2,943228;
2020-03-31;11;20;903,197793;18,412566;5,5;2,536928;
2020-04-30;14;35,4;903,525139;14,554444;8,5;2,986111;
2020-05-31;9;66,4;902,80672;12,789247;9,7;3,158737;
2020-06-30;9;null;null;12,165703;10,5;null;
2020-07-31;5;null;null;null;7,9;null;
2020-08-31;8;97,4;904,639113;12,93629;7,1;2,585349;
2020-09-30;12;117,8;903,005278;14,080833;8,2;3,033889;
2020-10-31;9;110,2;901,310081;15,48629;6,9;3,165591;
2020-11-30;20;161,8;901,844571;15,694257;7,3;2,818049;
2020-12-31;19;151;900,087021;17,85059;10,6;3,136325;

