Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;191,6;906,976081;20,604301;7,3;3,076344;
2020-02-29;10;144,4;908,791667;19,878017;7,9;3,465805;
2020-03-31;3;49,4;910,064431;20,231953;9,4;3,478812;
2020-04-30;4;83,2;911,116528;16,11375;8,5;3,221944;
2020-05-31;11;133,4;910,94422;13,477688;7,4;2,799597;
2020-06-30;13;300,2;910,534444;14,182639;9,9;3,230139;
2020-07-31;15;211,8;910,843414;12,571774;9,1;3,215803;
2020-08-31;6;179;911,828091;14,165323;9,3;3,564382;
2020-09-30;6;64,2;909,964028;17,632222;10;3,91625;
2020-10-31;7;43,8;908,33937;19,138645;11,5;4,123264;
2020-11-30;11;115,6;908,590761;18,685199;8,6;3,900151;
2020-12-31;15;244,6;907,070009;20,473557;7,9;3,566503;

