Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;102,2;1011,250269;22,391263;15,3;5,161962;
2020-02-29;9;78,2;1013,186638;22,322414;15,3;5,644684;
2020-03-31;8;12,8;1015,085484;22,379032;11,6;4,996774;
2020-04-30;15;67;1015,734028;18,751944;18,7;5,766667;
2020-05-31;14;92;1014,666129;15,204167;17,4;4,876344;
2020-06-30;21;256,6;1014,747639;13,115417;14,6;4,344444;
2020-07-31;12;79;1016,060484;10,968548;23;4,280645;
2020-08-31;20;62,2;1017,993952;11,646505;13,6;4,202419;
2020-09-30;12;111,4;1017,041806;12,720139;14,3;5,142222;
2020-10-31;17;47;1015,393683;15,183333;15,9;6,183333;
2020-11-30;9;27,8;1015,942917;19,118056;12,5;5,456944;
2020-12-31;7;43,8;1011,942876;21,109677;13,8;5,890188;

