Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.559295
Longitude: -56.062951
Altitude: 241.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;140;988,926753;29,232901;5,1;1,961515;
2020-02-29;16;null;989,987082;28,160334;4,7;1,726057;
2020-03-31;9;82,8;989,639086;29,077091;6,1;1,498928;
2020-04-30;4;111,6;992,042536;28,03968;4,1;1,294952;
2020-05-31;8;68,2;994,134214;24,952379;4,4;1,232722;
2020-06-30;0;0;993,341364;26,346843;4,6;1,397348;
2020-07-31;0;0;993,096505;26,632124;3,9;1,33535;
2020-08-31;2;1,2;991,887716;28,934783;5;1,431463;
2020-09-30;3;1,4;989,980795;31,633472;4,8;1,447525;
2020-10-31;9;87,4;988,523888;31,267591;8;1,825411;
2020-11-30;8;null;988,827525;30,018902;4,7;1,653511;
2020-12-31;13;null;988,830206;29,217433;7,2;1,957051;

