Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;972,211694;25,881586;0;0;
2020-02-29;null;null;972,905891;25,793104;0;0;
2020-03-31;null;null;972,45914;26,234274;0;0;
2020-04-30;null;null;974,247083;25,743194;0;0;
2020-05-31;null;null;975,954973;23,062097;0;0;
2020-06-30;null;0;975,34875;23,990278;0;0;
2020-07-31;0;0;975,081452;23,479839;0;0;
2020-08-31;0;0;974,27164;24,604301;0;0;
2020-09-30;0;0;972,631389;27,415694;0;0;
2020-10-31;null;null;971,733333;27,643683;0;0;
2020-11-30;null;null;971,646806;26,916944;0;0;
2020-12-31;null;null;971,85578;25,83414;0;0;

