Nome: SORRISO
Codigo Estacao: A904
Latitude: -12.555
Longitude: -55.72277777
Altitude: 379.31
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;201,2;968,23629;25,972446;5,7;,18078;
2020-02-29;21;211;968,820115;25,966236;0;0;
2020-03-31;20;133,4;968,441263;25,976882;0;0;
2020-04-30;11;208,8;969,912361;26,018333;0;0;
2020-05-31;2;35,2;971,357258;24,814247;0;0;
2020-06-30;0;0;970,962639;25,951389;0;0;
2020-07-31;0;0;970,699059;25,952554;0;0;
2020-08-31;0;0;969,934274;27,091263;0;0;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

