Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;4;null;null;null;5,9;null;
2020-02-29;16;null;978,261803;26,306027;7,5;1,075787;
2020-03-31;null;null;978,167083;26,798472;6,4;1,038889;
2020-04-30;null;null;980,306667;26,298056;5,4;,8675;
2020-05-31;null;null;982,371909;22,392742;4,5;,760484;
2020-06-30;null;0;981,755972;23,881111;5,6;,978889;
2020-07-31;0;0;981,50121;24,004167;4,9;1,193145;
2020-08-31;0;0;980,541398;25,665457;6,4;1,373925;
2020-09-30;null;null;null;29,117702;5,3;null;
2020-10-31;null;null;null;null;7,5;null;
2020-11-30;null;null;null;null;10,4;null;
2020-12-31;null;null;null;null;7,8;null;

