Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;223,8;null;24,39207;7,5;null;
2020-02-29;26;339,2;null;23,594297;7,1;null;
2020-03-31;16;115,4;null;24,211311;6,5;null;
2020-04-30;13;59,4;null;23,395417;6,6;null;
2020-05-31;7;40,6;null;20,260753;5,3;null;
2020-06-30;1;,2;null;21,899028;6,4;null;
2020-07-31;0;0;null;21,978629;5,9;null;
2020-08-31;0;0;null;23,549194;8,1;null;
2020-09-30;3;12,6;null;27,120526;6;null;
2020-10-31;11;179,4;null;26,522428;9,8;null;
2020-11-30;9;34,4;null;25,291651;6,8;null;
2020-12-31;19;214,2;null;24,096447;7;null;

