Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;29;168;948,670296;23,780914;6,3;1,452957;
2020-02-29;27;295,6;949,182759;23,667241;6,5;1,169397;
2020-03-31;20;163;948,972581;24,006989;6,3;,388844;
2020-04-30;13;47,6;950,876111;23,345972;5,9;,289306;
2020-05-31;17;61,2;952,228495;21,105242;4,3;,711962;
2020-06-30;14;18,8;951,600417;21,795833;4,1;,721806;
2020-07-31;9;null;951,335326;21,402355;5,3;,586378;
2020-08-31;null;null;null;null;6,3;null;
2020-09-30;null;null;null;null;5,3;null;
2020-10-31;2;null;null;null;6,2;null;
2020-11-30;13;61;948,32625;24,668472;5,1;,321805;
2020-12-31;16;null;948,415937;23,609063;4,5;,200594;

