Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;187,8;980,83367;25,973443;6,6;,332719;
2020-02-29;18;null;981,394605;26,046609;4,1;,289736;
2020-03-31;24;161,2;980,9875;25,998387;3,4;,200672;
2020-04-30;14;166;982,339987;26,024621;3;,114861;
2020-05-31;2;67,8;983,682661;24,938844;5,1;,527554;
2020-06-30;2;5;983,115139;25,676528;3,8;,164028;
2020-07-31;0;0;982,761828;25,68078;3,5;,28965;
2020-08-31;null;null;982,119457;26,742742;6,2;,486848;
2020-09-30;null;null;null;null;6,4;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

