Nome: SAO FELIX DO ARAGUAIA
Codigo Estacao: A921
Latitude: -11.61888888
Longitude: -50.72777777
Altitude: 201.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;8;null;null;null;11,5;null;
2020-02-29;19;259,2;988,80431;26,418822;5,6;,822558;
2020-03-31;22;321,8;988,541263;26,601344;8,8;,900538;
2020-04-30;15;359;989,457639;26,877778;8,1;,968056;
2020-05-31;null;null;990,64422;26,425672;5,4;1,207527;
2020-06-30;null;0;990,98;25,782917;5,2;1,3275;
2020-07-31;0;0;990,697446;25,455511;5,8;1,472312;
2020-08-31;1;,4;989,633333;27,466398;6,7;1,575;
2020-09-30;1;,2;988,084445;29,639306;6,9;1,706389;
2020-10-31;9;155,8;986,887097;28,702151;7,7;1,010887;
2020-11-30;13;232;987,301528;26,962778;6,7;,741528;
2020-12-31;19;190,2;987,480511;26,452285;6,7;,587231;

