Nome: VILA BELA DA SANTISSIMA TRINDADE
Codigo Estacao: A922
Latitude: -15.06277777
Longitude: -59.87305554
Altitude: 213
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;210,8;985,548521;26,583333;6,3;1,431855;
2020-02-29;12;184,6;986,396264;25,936638;5,8;1,297557;
2020-03-31;null;null;986,092473;26,934543;7,9;1,002823;
2020-04-30;null;null;988,571111;25,721389;5;,906945;
2020-05-31;null;null;990,332796;22,933333;5,3;1,002285;
2020-06-30;null;0;989,367917;24,062576;5,1;1,310278;
2020-07-31;0;0;989,151344;24,02379;4,1;1,128091;
2020-08-31;3;11;988,225941;25,414382;5,6;1,322715;
2020-09-30;3;3;986,645139;28,071667;6,9;1,289861;
2020-10-31;5;45,8;985,457258;28,72379;7,9;1,841667;
2020-11-30;10;128;985,241806;27,876806;6,5;1,359583;
2020-12-31;19;205,8;985,346293;26,405278;5;1,39717;

